"ID","Name","Typ","Gelesen?","Autoren","Inhalt","Kommentar","Link","Link-Anm.","Tags","ISBN","DOI"
1,"Algorithms for the On-line Travelling Salesman","Paper","ja","Giorgio Ausiello, Esteban Feuerstein, Stefano Leonardi, Leen Stougie, Maurizio Talamo","Ueber Algorithmen und untere Schranken für Online-TSP (Nomadic OLTSP/N-OLTSP und Homing OLTSP/H-OLTSP).","Sehr gut lesbar mit ausführlichen Beweisen und Intuition. Gute Struktur. Grundlage für meinen Vortrag in der Frühlingsschule 2016: https://github.com/GraffL/talk-online-tsp","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.8.5620",,"Online, TSP, Algorithmen",,
2,"Capacitated Vehicle Routing with Non-Uniform Speeds","Paper","nein","Inge Li Gørtz, Marco Molinaro  Viswanath Nagarajan, R. Ravi",,,"http://arxiv.org/abs/1012.1850",,"TSP, Algorithmen",,
3,"Things to Make and Do in the Fourth Dimension","Buch","ja","Matt Parker",,"3-dimensionales Stichwortverzeichnis!","http://makeanddo4d.com/","Bonus-Seite",,"978-0141975863",
4,"Cakes, Custard and Category Theory: Easy Recipes for Understanding Complex Maths","Buch","ja","Eugenia Cheng",,,,,"Kategorientheorie","978-1781252871",
5,"A Course in General Relativity","Buch","teilweise","James Foster, J. David Nightingale",,,,,"ART, Relativitätstheorie","978-0387-26078-5",
6,"Gravitation","Buch","teilweise","Charles W. Misner, Kip S. Thorne, John Archibald Wheeler",,"Ausführliches und präzises Stichwortverzeichnis",,,"ART, Relativitätstheorie","978-0-7167-03440",
7,"Game Theory from the Category Theory Point of View","Paper","ja","Alfi Jiménez",,,"https://www.gtcenter.org/Archive/2014/Conf/Jimenez1880.pdf","pdf","Kategorientheorie, Spieltheorie",,
8,"The Instructor's Guide to Real Induction","Paper","nein","Pete L. Clark",,,"http://arxiv.org/abs/1208.0973",,,,
9,"Kuchen gerecht teilen","Paper","nein","Malte Wunsch",,,"http://tizian.cs.uni-bonn.de/Lehre/Seminare/PSAchilles08/Ausarbeitungen/KuchenTeilen.pdf","pdf","Optimierung, Spieltheorie, Kuchenteilung",,
10,"A Mathematician's Lament","Paper","ja","Paul Lockhart","Eine Polemik zum Mathematikunterricht und wie dieser Kreativität tötet.","Schöne Vergleiche mit anderen kreativen Fächern,","https://www.maa.org/external_archive/devlin/LockhartsLament.pdf","pdf","Pädagogik",,
11,"Approximation algorithms","Buch","teilweise","Vijay V. Vazirani",,,"http://www.cc.gatech.edu/fac/Vijay.Vazirani/book.pdf","pdf","Algorithmen, Approximationsalgorithmen, Set Cover, Multiway Cut, k-Cut","978-3-642-08469-0",
12,"On proof and progress in mathematics","Paper","ja","William P. Thurston",,,"http://arxiv.org/abs/math/9404236v1",,"Pädagogik",,
13,"Bitcoin: A Peer-to-Peer Electronic Cash System","Paper","nein","Satoshi Nakamoto",,,"https://bitcoin.org/bitcoin.pdf","pdf","Bitcoin",,
14,"The Unreasonable Effectiveness of Mathematics","Paper","ja","R. W. Hamming",,"„FollowUp“ zu dem Artikel von Eugene Wigner. Im Gegensatz zu diesem wird hier auch versucht Antworten oder zumindest Antwortvorschläge zu geben.","http://www.dartmouth.edu/~matc/MathDrama/reading/Hamming.html",,"Meta",,"10.2307/2321982 "
